LOADING_TIP_0;Yellowbloods make for good breeding stock.;;;;;;;;;;;;;x
LOADING_TIP_1;Rome fell due to misuse of magic.;;;;;;;;;;;;;x
LOADING_TIP_2;Lucius Sergius founded the Second Republic, Lucius Septimius founded the Third.;;;;;;;;;;;;;x
LOADING_TIP_3;Lime and Jadebloods make for poor breeding stock.;;;;;;;;;;;;;x
LOADING_TIP_4;Flavius Claudius attempted to seize Imperial authority in Rome but lost the city to barbarians.;;;;;;;;;;;;;x
LOADING_TIP_5;Flavius Julius never really loved his brothers that much.;;;;;;;;;;;;;x
LOADING_TIP_6;Nobody believed Hroderic about Rome.;;;;;;;;;;;;;x
LOADING_TIP_7;Xosrau was a great lover of honeyed goods.;;;;;;;;;;;;;x
LOADING_TIP_8;The death of Xosrau was a very convenient one.;;;;;;;;;;;;;x
LOADING_TIP_9;Alexandros is the son of a Syrian doux.;;;;;;;;;;;;;x
LOADING_TIP_10;Alexandros' brother, Argyros, wanted to name his son Basileus.;;;;;;;;;;;;;x
LOADING_TIP_11;Alexandros' mother is rumoured to have loved juggling.;;;;;;;;;;;;;x
LOADING_TIP_12;Nobody dares to call the Imperator a bastard.;;;;;;;;;;;;;x
LOADING_TIP_13;Egypt used to be a province of Rome before 642.;;;;;;;;;;;;;x
LOADING_TIP_14;Rumours circulate about the true nature of the Imperator's mother.;;;;;;;;;;;;;x
LOADING_TIP_15;Nobody remembers the half-blind anymore.;;;;;;;;;;;;;x
LOADING_TIP_16;Imperatrix Theodora ruled for twenty-three years under the pretense of regency.;;;;;;;;;;;;;x
LOADING_TIP_17;Flavius Heraclius was hailed as a diplomatic genius back in his day.;;;;;;;;;;;;;x
LOADING_TIP_18;Abu Bakr could never have defeated both empires at once.;;;;;;;;;;;;;x
LOADING_TIP_19;Maculists are one of the two main branches of Christianity, claiming Jesus was the son of man.;;;;;;;;;;;;;x
LOADING_TIP_20;Immaculists are one of the two main branches of Christiantiy, claiming Jesus was the son of God.;;;;;;;;;;;;;x
LOADING_TIP_21;Abu 'l-Abbas dreamt he was the prophet. He was found full of holes.;;;;;;;;;;;;;x
LOADING_TIP_22;The Langobards had converted long before the Maculists came.;;;;;;;;;;;;;x
LOADING_TIP_23;Durocortorum is the seat of Merovingian Gaul.;;;;;;;;;;;;;x
LOADING_TIP_24;Sabellianism thrives in the exarchate of Carchedon.;;;;;;;;;;;;;x
LOADING_TIP_25;The Vandals had long since settled on the Mediterranean shore.;;;;;;;;;;;;;x
LOADING_TIP_26;Hilderic isn't well-loved, and not for petty reasons either.;;;;;;;;;;;;;x
LOADING_TIP_27;The Saxons in Germania and Britania are one people with two faiths.;;;;;;;;;;;;;x
LOADING_TIP_28;One doesn't just bring his pet along for a visit to a Gaulish court.;;;;;;;;;;;;;x
LOADING_TIP_29;The Caliph considers it his holy mission to convert men, by either word or sword.;;;;;;;;;;;;;x
